text,analysis
Just saw Tre'Davious Whiteby the way... Appears to me walking fine on his way toward #LSU Football Ops.,positive
It's one of the best weeks in LSU football ...BAMA WEEK pic.twitter.com/VkbnbU0htp,positive
LSU Football Chat with Glenn Guilbeau - http:// goo.gl/VVea9N #LSU #geauxtigers,positive
finally got my Saturday's back for LSU football,positive
Now my hopes ride on the fortunes of #LSU football. Undefeated (7-0) & ranked no. 4 w/ big tilt at Bama this Saturday. #GeauxTigers,positive
LSU Football Coach@LSUCoachMilesand Mike the Tiger have some Halloween fun. https:// twitter.com/LSUsports/stat us/660169322002644992 …,positive
Please excuse meas I will be extra obnoxious this week when discussing LSU football . #BamaHateWeek,positive
LSU Football Is The Best Shot At A Playoff Berth For SEC http:// bit.ly/1GWJMAd #RantNCAAFB,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSU19 #LSUNATION #NCAASeason91 #sports,positive
Why does the LSU Football Field label every 5 yards rather than every 10? via /r/CFB http:// ift.tt/1ShF4hU,negative
It's Saturday Night in Death Valley ( LSU Football ) https:// youtu.be/yqKthXGYAOQ vía @YouTube,positive
I need catch up on my LSU football missing my dude Duke Riley,positive
"My Facebook bio in the seventh grade was ""ask me questions about LSU football and I WILL have answers"" .... Glad to see I haven't changed",positive
#Hero #LSU #Football Players Fight Floodwaters To Save Woman And Her Son @dailycaller http:// buff.ly/1Oag5yp,positive
@saints10fan @No2Ny4ever what?! I live stream LSU football games for free and I didn't have any problems. You mean u got viruses from ads?,negative
I know this is an LSU football based Facebook pagebut how about them New Orleans Saints?! Drew Brees ties the... http:// fb.me/7IFewkmd4,positive
Yep... God hates LSU football pic.twitter.com/1EQ5jO5ZQJ,negative
LSU Football is a freak factory I swear ! They always have the best ballers,positive
LSU remained No. 4 in the @AP_Top25 . See the complete rankings: http:// lsul.su/1MAwoEn,positive
Could use a lil LSU football in my life.,positive
@_kkirana I mean I been a fan so you wrong n you can call me what you want I still don't like LSU football,negative
RT @bengalsnbandits : Happy #BeatBama week! #geauxtigers #lsu @LSUFootball http:// fb.me/4j0uSvUJy,positive
Congrats @spenceware11 ! #NFLSU https:// twitter.com/nfl/status/660 868290277871616 …,positive
#WeFromLouisiana : #Boosie talks #LSU #Football on Highly Questionable @HQonESPN / http:// bit.ly/1M8wPzo / #ImFromLouisiana,positive
2 Alabama vs LSU Football Tickets 50 YDL Lower Level + Parking 11/7/15 - Bid Now! Only $50… http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?campid=5337670620&customid=&toolid=10014&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2F2-Alabama-vs-LSU-Football-Tickets-50-YDL-Lower-Level-Parking-11-7-15-%2F111806597933 … pic.twitter.com/j4QZJTiInO,positive
I wanna go to a LSU football game so badly,positive
talking to LSU football players at the airport,positive
#tigerstadium #throwback #haloween #LSU #football #mikethetiger by obeyliam91 pic.twitter.com/JzHAErVK12,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSU19 #LSUNATION #NCAASeason91 #sports,positive
3 of the grandsons enjoying an LSU football game. pic.twitter.com/djsTVeOwsC,positive
2 Alabama vs Lsu Football Tickets - Bid Now! Only $305.0 http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?campid=5337670620&customid=&toolid=10014&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2F2-Alabama-vs-Lsu-Football-Tickets-%2F201453894298 … pic.twitter.com/6vKri1F6a7,positive
Alabama– LSU football rivalry - Wikipediathe free encyclopedia https:// en.m.wikipedia.org/wiki/Alabama%E 2%80%93LSU_football_rivalry …,positive
@EmmLara29 and I just ate Denny's with 2 LSU football players wtf,negative
2 Alabama vs LSU Football Tickets 50 YDL Lower Level + Parking 11/7/15 - Full read by eBay http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?campid=5337670620&customid=&toolid=10014&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2F2-Alabama-vs-LSU-Football-Tickets-50-YDL-Lower-Level-Parking-11-7-15-%2F111806597933 … pic.twitter.com/yc35wDTI6z,positive
4 Alabama vs LSU Football TicketsSection U2-B (Press Box Level) - Bid Now! Only $835.0 http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?campid=5337670620&customid=&toolid=10014&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2F4-Alabama-vs-LSU-Football-Tickets-Section-U2-B-Press-Box-Level-%2F291602120126 … pic.twitter.com/u61UG3t1XL,positive
Is Leonard Fournette ready for the NFL? http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … … #LeonardFournette #LSU #football #LSU19 #LSUNATION #NCAASeason91 #sports,negative
#tickets ONE LOWER LEVEL Alabama Crimson Tide vs LSU Football Tickets11/7/2015 http:// ow.ly/36DaBo,positive
@leaux25 I hate bye weeks. No LSU football today,negative
#tickets 2 Alabama Vs LSU Football Tickets W/Parking Pass 11/7/15 http:// ow.ly/36D3Zf,positive
2 Alabama vs Lsu Football Tickets - Bid Now! Only $305.0 http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?campid=5337670620&customid=&toolid=10014&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2F2-Alabama-vs-Lsu-Football-Tickets-%2F201453894298 … pic.twitter.com/eD1UQxNi94,positive
today was seaux boring with no LSU football,negative
Really looking forward to next Saturday. Gotta find my place on the Alabama bandwagon because I despise LSU football & Les Miles sneaky ass,positive
#tigerstadium I have some news that might scare some... I'm joining the LSU football team as a late addition to the… pic.twitter.com/nbmJxmJzcz,negative
@LSU_FOOTBALL _ @YahooSports @ESPNCFB We can only pray he isn't doing our game against Alabama or we are screwed.,positive
Ebay Bid Last Second RT↺ http:// tinyurl.com/pa4oao8 Two (2) Of Four (4) Alabama V. Lsu Football Tkts -lower Tide Pride ↺Please Favorite,negative
me and Tripp have decided to be LSU football players tonight pic.twitter.com/vKqddIzmUZ,positive
It's a sad Saturday without LSU football,negative
Spotted: LSU football player riding a pony pic.twitter.com/5ZsF2KiVws,positive
No LSU football today. BUMMER! :/ #collegefootball,negative
No lsu football No tailgating No more party And the weather is awful WHAT DO I DO?,negative
I don't like Saturday's without LSU football,negative
ICYMI@LSUmiketiger starred in the Attack of the SEC Un-Dead. #HappyHalloween https:// amp.twimg.com/v/bc7635ae-543 e-44ac-93f5-0ef5c73de757 …,positive
For Halloween if I had a son I think I'd dress em up like a LSU football player,positive
Saturday's just aren't the same without LSU football,negative
LSU football legend Bill Cannon at book signing Louisiana State Capitol. pic.twitter.com/2KFKKBiUK3,negative
"I dressed up as an LSU football coach last night and a girl asked me if I knew what ""dash right 93 Berlin"" was. Girl bye.",positive
Lsu Football Wallpapers 2015 http:// wallpapercave.com/lsu-football-w allpaper-2015#wp793126 …,positive
The best site on the web for LSU footballrecruitingand sports news. Updated daily! http://www. dandydon.com/report.php?id= 2320 … @dandydonlsu #gobr,positive
The future of LSU football https:// twitter.com/wynnloudon/sta tus/660503219005726721 …,positive
just ordered Duke coat I now have my 2 favorite teams Duke basketballLSU FOOTBALL,negative
Woke up ready for LSU football then ....bye week,positive
2 Tide Pride Alabama vs. LSU Football Tickets 2015 - Bid Now! Only $610.0 http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?campid=5337670620&customid=&toolid=10014&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2F2-Tide-Pride-Alabama-vs-LSU-Football-Tickets-2015-%2F111803902918 … pic.twitter.com/ASToAv5u0a,positive
As much as I like LSU having this bye weekI can't stand not watching LSU football on a Saturday,negative
No LSU football this weekend,negative
It's Saturdaybut no LSU football,negative
What does one do on a Saturday without LSU football ?,negative
LSU Football : Mid-Season Review - http:// Football.com https://www. football.com/s/AqpRZe/,positive
News: LSU football schedule for 2016 released http:// wp.me/p2Yvk1-cel #thecreole #AscensionParish,positive
Is Leonard Fournette ready for the NFL? http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSU19 #LSUNATION #NCAASeason91 #sports,positive
No LSU football today or Alabama,negative
#Hero #LSU #Football Players Fight Floodwaters To Save Woman And Her Son @dailycaller http:// fb.me/JH1nvA9d,positive
No LSU football tomorrow,negative
No LSU football tomorrow ..but boxing on so that's good ..Saints Sunday lets get to .500 at the half way mark,positive
LSU football has always faired pretty damn well except for a spell in the 90s. https:// twitter.com/fire_riot/stat us/658374911635750912 …,positive
LSU football gets into the Halloween spirit with SEC zombie short film http:// ift.tt/1GCXR6c #zombie #news #doineedtohide,positive
This is my LSU football bye week #byefelecia walk. With fringe (duh) because you need fringe on a… https:// instagram.com/p/9ez5eZEezT/,negative
